REGION,YEAR,WEEK,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Region 5,2010,38,656,180,79166
Region 6,2010,38,843,108,65497
Region 7,2010,38,124,60,16458
Region 8,2010,38,260,83,46378
Region 9,2010,38,1032,126,54587
Region 10,2010,38,68,29,9354
Region 1,2010,39,97,83,25796
Region 2,2010,39,1082,99,95223
Region 3,2010,39,930,156,85900
Region 4,2010,39,1383,303,128242
Region 5,2010,39,521,177,73620
Region 6,2010,39,963,121,65318
Region 7,2010,39,151,61,17663
Region 8,2010,39,237,86,44215
Region 9,2010,39,943,140,53720
Region 10,2010,39,80,28,9669
Region 1,2010,40,252,150,50877
Region 2,2010,40,1259,154,110686
Region 3,2010,40,1119,213,99483
Region 4,2010,40,1830,409,158397
Region 5,2010,40,758,262,90764
Region 6,2010,40,1638,194,81120
Region 7,2010,40,216,92,22989
Region 8,2010,40,315,99,45752
Region 9,2010,40,999,209,70276
Region 10,2010,40,87,56,16141
Region 1,2010,41,307,151,47313
Region 2,2010,41,1494,154,110048
Region 3,2010,41,1276,215,100499
Region 4,2010,41,2008,412,156269
Region 5,2010,41,900,284,97457
Region 6,2010,41,1575,189,79468
Region 7,2010,41,227,91,22966
Region 8,2010,41,257,102,44379
Region 9,2010,41,1144,223,72125
Region 10,2010,41,159,54,15706
Region 1,2010,42,338,160,54188
Region 2,2010,42,1419,162,114130
Region 3,2010,42,1314,219,108024
Region 4,2010,42,2059,405,161373
Region 5,2010,42,987,278,97762
Region 6,2010,42,1705,200,82642
Region 7,2010,42,241,95,23755
Region 8,2010,42,291,105,46047
Region 9,2010,42,1191,231,72533
Region 10,2010,42,139,52,16943
Region 1,2010,43,345,165,56056
Region 2,2010,43,1476,162,115176
Region 3,2010,43,1335,218,107000
Region 4,2010,43,2208,417,159324
Region 5,2010,43,1003,288,101445
Region 6,2010,43,1693,191,81368
Region 7,2010,43,213,98,27160
Region 8,2010,43,306,99,43355
Region 9,2010,43,1167,234,73901
Region 10,2010,43,158,57,16449
Region 1,2010,44,338,163,52485
Region 2,2010,44,1518,171,108803
Region 3,2010,44,1357,222,103851
Region 4,2010,44,2567,409,153453
Region 5,2010,44,1129,287,100243
Region 6,2010,44,1967,192,83622
Region 7,2010,44,178,98,26682
Region 8,2010,44,354,108,45864
Region 9,2010,44,1430,239,74529
Region 10,2010,44,182,58,17221
Region 1,2010,45,302,165,50532
Region 2,2010,45,1804,172,112695
Region 3,2010,45,1495,222,105532
Region 4,2010,45,3030,414,154743
Region 5,2010,45,1073,282,99433
Region 6,2010,45,2093,198,89847
Region 7,2010,45,306,100,27431
Region 8,2010,45,290,97,43699
Region 9,2010,45,1239,231,69212
Region 10,2010,45,175,59,16858
Region 1,2010,46,395,164,54900
Region 2,2010,46,2047,174,117021
Region 3,2010,46,1512,215,104526
Region 4,2010,46,3832,413,164364
Region 5,2010,46,1072,280,99118
Region 6,2010,46,2065,190,84808
Region 7,2010,46,270,100,26810
Region 8,2010,46,318,92,43633
Region 9,2010,46,1621,238,74992
Region 10,2010,46,204,55,16866
Region 1,2010,47,321,159,37415
Region 2,2010,47,2172,172,101031
Region 3,2010,47,1464,222,92080
Region 4,2010,47,3537,421,119231
Region 5,2010,47,917,284,72562
Region 6,2010,47,1708,188,63432
Region 7,2010,47,162,96,16305
Region 8,2010,47,236,105,33273
Region 9,2010,47,1407,240,62968
Region 10,2010,47,155,51,8230
Region 1,2010,48,412,166,54690
Region 2,2010,48,2799,170,115387
Region 3,2010,48,1659,228,107394
Region 4,2010,48,3522,419,156614
Region 5,2010,48,1037,288,96945
Region 6,2010,48,2076,192,81863
Region 7,2010,48,323,97,24254
Region 8,2010,48,344,103,45942
Region 9,2010,48,1669,243,75089
Region 10,2010,48,156,58,13838
