0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1245,21,488,89,1170,174,20,12,125,2254,41,54,775,98,41,84,77,450,20,175,316,106,59,1529,126,2,111,440,4,210,221,357,119,6,69,111,35,196,30,41,51,121,1350,78,50,945,14,121,31,15,3113
1297,15,454,77,1057,123,19,13,110,2489,19,102,1039,100,44,75,148,588,25,174,268,74,39,1775,154,1,62,495,10,264,232,388,107,4,72,85,43,214,38,31,69,145,1418,43,45,1260,6,87,17,62,3819
1274,21,344,61,916,160,13,19,101,2064,32,90,1251,136,28,81,134,1307,25,199,258,83,34,1570,181,3,85,624,8,199,259,349,158,0,80,142,45,243,44,57,67,188,1293,42,63,1466,30,103,29,60,3625
1191,12,411,122,1190,199,25,30,143,1723,48,95,1172,168,13,101,135,922,31,219,328,96,61,1139,173,0,102,588,17,224,241,352,289,4,153,100,48,257,32,94,78,178,1524,37,75,1596,35,135,27,39,3297
1195,28,447,166,1354,202,34,104,146,1133,41,115,1280,256,21,79,98,989,27,219,407,127,47,899,194,5,86,618,11,273,250,383,469,2,189,180,66,322,19,140,91,237,1950,58,57,1835,33,128,29,51,2840
1624,36,604,271,1324,236,43,81,105,1288,57,162,1664,510,44,148,224,1684,39,344,370,149,82,1062,189,5,108,664,20,307,312,356,910,14,273,345,62,439,23,171,124,390,2518,143,73,2719,16,207,42,105,2588
1938,33,756,335,1768,406,38,84,106,1629,68,170,1991,902,101,291,365,1035,64,322,512,252,100,1146,322,6,164,772,22,321,452,437,1260,19,437,511,86,681,55,414,150,652,3381,48,89,3294,46,313,101,152,2302
1504,49,682,296,1747,486,71,91,106,1828,63,200,1857,826,102,286,496,2251,79,381,577,230,119,1142,318,23,156,775,24,384,437,528,1370,25,555,287,55,758,81,726,155,841,3086,133,97,3859,75,438,121,145,2198
1586,41,769,285,1987,548,96,99,108,1908,81,224,1774,832,81,341,465,1596,100,339,697,384,125,1020,395,10,126,756,40,412,454,572,1406,29,418,170,89,687,149,616,185,791,3280,299,116,3731,63,524,135,167,2354
1450,69,770,410,2036,654,109,125,78,1835,97,301,1739,844,105,397,329,1656,150,269,726,375,162,1089,528,20,156,784,37,351,625,537,1305,48,409,176,94,663,189,456,275,781,4821,152,128,3743,114,727,130,125,2475
1200,65,681,271,1775,637,110,101,35,1596,88,287,1568,664,107,403,459,1102,101,213,618,428,140,865,466,28,300,762,37,421,516,420,962,57,316,185,59,591,286,364,244,446,3641,90,100,3184,94,765,120,107,2397
737,116,454,308,2007,591,76,89,55,1048,94,290,1579,509,101,350,291,602,123,199,532,291,161,677,344,32,261,535,47,440,413,328,522,67,273,129,68,485,175,241,242,369,2401,66,82,2411,98,596,149,106,1885
593,87,443,109,1853,451,37,73,63,794,61,299,1345,342,55,255,144,596,73,177,585,353,133,621,336,22,192,619,28,247,347,313,381,89,236,108,76,368,148,141,215,223,1784,154,89,1825,82,324,148,71,1723
390,62,310,129,1598,387,37,43,61,775,73,202,1284,235,66,147,96,695,68,146,481,249,128,581,200,28,87,564,24,201,324,339,298,44,190,83,52,328,84,113,168,176,1231,142,62,1561,73,304,129,46,1676
334,48,276,63,1111,289,15,22,83,665,24,177,1045,217,25,96,79,585,55,142,424,216,116,513,184,30,48,490,20,183,254,254,226,47,90,47,35,253,50,62,153,74,1082,123,52,1210,76,159,33,34,1605
291,51,272,65,1160,192,41,41,67,581,42,102,985,119,12,83,127,392,48,104,459,176,109,560,131,14,31,436,26,239,224,242,175,19,112,25,47,244,54,55,131,88,968,98,55,1173,42,136,57,44,1587
252,49,246,23,927,182,16,19,3,549,43,107,851,107,22,70,44,467,47,116,399,117,105,515,109,6,29,408,10,185,200,251,105,15,71,45,38,264,47,51,69,88,827,54,60,1028,18,103,44,35,1657
189,31,222,12,918,167,8,4,1,485,26,107,616,68,14,51,43,242,33,118,364,92,68,520,93,8,38,290,3,140,137,236,115,16,51,16,30,213,35,39,44,60,770,75,56,722,25,75,34,21,1326
194,31,257,18,736,153,8,3,1,490,34,51,640,53,10,46,28,219,25,130,291,97,57,438,64,1,28,372,2,136,155,197,60,6,36,14,37,144,27,36,49,65,683,40,37,774,33,69,9,23,1293
207,17,241,12,784,177,10,1,0,468,22,68,526,53,12,48,35,308,23,69,247,77,44,420,43,0,13,275,7,189,141,123,49,4,39,8,31,142,45,15,41,44,605,17,36,635,16,60,18,14,1073
198,17,181,14,734,151,4,3,0,446,8,58,479,46,5,32,72,184,25,83,244,79,24,355,38,0,9,273,3,93,135,153,50,4,68,7,29,141,25,12,27,10,662,26,40,672,16,37,18,7,1054
180,7,156,10,672,113,3,1,0,488,18,50,575,59,3,31,19,107,25,72,200,84,22,378,54,0,7,250,3,102,132,164,50,1,39,8,28,120,3,3,28,7,730,26,52,705,11,38,8,18,1170
161,6,124,6,700,118,2,2,40,491,19,65,392,43,3,39,18,178,16,55,214,92,26,334,41,0,8,64,3,162,121,57,37,4,48,5,31,113,1,7,22,5,574,31,38,709,8,34,15,10,1018
167,14,137,12,583,112,1,0,37,373,24,50,381,35,2,25,8,165,21,77,248,56,21,342,43,0,3,50,1,162,76,99,41,0,27,4,19,95,1,14,22,2,459,17,22,617,2,37,9,4,1178
134,7,104,13,581,88,2,0,40,414,11,66,516,48,1,19,33,121,23,41,202,51,14,392,2,0,3,51,1,118,75,88,39,2,38,1,19,98,1,6,19,2,487,10,18,629,2,33,8,4,1076
144,11,97,11,588,84,1,0,47,300,13,52,392,31,0,18,6,152,18,70,254,69,17,349,3,0,5,71,0,151,58,8,34,0,20,4,15,111,1,9,18,6,391,16,20,580,3,28,2,4,1104
149,10,80,8,461,70,0,0,47,249,11,44,311,30,0,6,12,162,17,100,218,65,15,300,1,0,1,58,0,106,64,5,31,0,5,5,18,75,1,7,23,2,434,17,10,548,1,36,2,6,1070
96,14,86,3,436,55,0,0,32,214,17,46,307,21,0,14,10,149,15,66,177,52,29,276,8,0,2,53,1,117,45,7,27,0,6,0,23,81,1,5,16,3,378,12,20,458,0,16,9,5,908
112,10,81,3,426,45,0,0,37,168,18,49,379,31,0,4,34,145,19,63,155,54,11,212,3,0,1,42,1,43,39,7,29,1,22,3,14,64,1,9,13,1,323,23,11,452,0,17,9,2,899
88,9,82,2,343,64,0,0,27,222,28,31,372,26,1,4,5,65,31,63,138,36,26,268,4,0,1,26,0,9,53,2,26,0,20,3,10,82,2,9,20,1,333,17,12,444,0,20,5,3,838
109,12,95,2,383,56,0,0,42,173,22,22,244,14,0,4,5,119,24,74,167,45,12,244,3,0,1,33,0,8,46,3,19,0,6,2,10,55,0,4,21,1,384,5,12,357,0,14,7,4,729
74,6,77,0,327,75,0,0,39,154,16,32,335,19,0,14,26,180,25,67,163,38,15,287,2,0,2,30,1,4,57,7,13,0,8,2,6,60,2,4,18,1,260,14,16,353,0,6,3,3,629
77,8,67,1,303,70,0,0,35,181,20,20,356,18,0,14,2,169,19,46,154,30,4,235,1,0,4,34,0,11,45,7,17,0,3,2,10,54,0,14,24,0,298,8,15,369,0,9,5,2,674
14,7,91,0,91,93,0,0,41,186,2,13,351,14,1,6,23,109,14,78,153,41,18,225,3,0,1,38,1,13,52,8,11,5,13,1,8,50,1,6,22,2,317,4,14,320,0,5,1,2,630
111,9,69,5,295,69,0,0,27,241,8,23,316,12,1,8,0,113,15,55,164,35,12,247,1,0,2,30,0,16,50,6,11,7,14,0,9,62,0,5,18,2,302,12,15,355,0,8,5,3,653
130,6,98,2,284,77,2,0,35,284,7,24,370,17,0,2,2,121,18,52,142,42,8,304,1,0,5,31,1,13,54,7,23,8,4,6,8,56,0,4,15,6,372,11,26,409,0,13,2,5,620
142,3,128,6,350,78,1,0,41,406,17,14,398,28,1,12,3,198,17,78,143,51,20,404,1,0,3,30,0,10,64,6,16,12,9,8,7,57,0,3,21,7,388,14,23,396,1,29,6,4,693
145,17,148,7,376,119,0,0,33,389,9,45,431,27,4,17,6,171,20,49,134,70,11,327,5,0,4,24,1,10,95,10,25,11,5,5,9,67,4,4,25,15,550,17,23,427,0,30,8,6,641
181,16,85,8,322,99,0,0,51,435,12,43,448,34,5,35,7,170,19,40,121,49,19,360,8,0,11,41,0,12,63,8,20,15,9,10,10,76,4,4,26,15,557,14,28,488,1,27,5,9,670
224,19,118,11,420,121,2,0,72,467,19,26,439,33,15,45,7,35,14,54,163,63,34,370,9,0,34,45,1,16,83,9,36,20,20,20,16,113,4,8,24,33,591,18,30,601,1,51,7,10,768
234,24,107,9,445,124,0,0,74,453,12,32,541,53,7,26,5,37,16,113,169,59,27,339,9,1,14,40,3,24,80,22,37,32,10,7,23,139,6,10,20,38,568,99,20,714,4,69,18,18,749
229,29,120,5,474,131,1,0,78,563,17,32,512,77,12,41,8,127,15,105,216,80,44,415,6,0,10,56,5,33,118,24,59,24,19,10,21,188,12,6,22,44,510,103,24,833,0,59,17,12,1023
267,58,138,27,568,153,3,5,96,578,106,35,886,97,36,81,73,377,23,172,190,105,33,399,87,0,19,65,4,49,136,79,64,32,85,42,9,150,11,20,46,50,772,244,49,840,38,77,26,24,1544
317,38,132,31,703,117,5,4,92,559,104,48,794,132,41,82,53,355,28,141,297,108,48,394,77,2,11,61,12,44,97,81,110,32,114,28,25,161,6,21,70,47,692,287,53,927,39,99,17,20,1743
315,32,153,55,801,123,17,2,106,485,112,46,755,130,37,80,49,333,30,150,275,102,70,396,58,1,9,81,7,48,160,62,162,29,124,36,21,168,16,10,45,44,792,273,36,897,32,91,25,44,1703
387,30,179,44,797,127,9,3,104,389,125,66,772,118,46,93,59,314,42,187,301,92,53,389,62,4,79,95,21,45,181,59,164,16,119,16,19,186,17,20,55,62,833,292,42,909,39,119,36,43,1718
362,11,201,61,866,116,7,7,95,577,146,86,797,150,62,72,84,420,26,160,315,117,84,412,88,4,81,99,14,60,195,83,178,24,138,28,25,206,26,31,56,60,768,352,62,938,55,140,15,40,2080
396,25,198,67,784,108,19,10,125,623,115,73,742,130,30,78,54,289,44,159,306,119,88,467,63,0,84,93,15,55,154,62,201,25,148,23,15,228,38,29,44,99,876,383,49,1023,41,136,28,40,2131
286,9,250,74,992,152,11,13,119,569,131,100,819,115,51,65,57,356,31,183,261,88,71,438,95,3,9,94,23,66,235,63,193,20,116,64,27,201,18,25,41,57,915,363,47,1050,55,95,26,38,2156
337,10,219,47,594,84,0,3,70,599,88,53,783,91,11,70,51,290,22,128,241,76,78,430,70,7,15,87,11,54,222,36,103,38,97,15,37,193,6,10,39,63,722,388,55,1009,39,84,21,24,2216
318,20,242,104,511,141,7,14,96,520,134,98,772,120,38,66,77,355,36,176,261,86,75,426,86,7,86,94,19,59,201,87,170,15,120,48,32,217,33,28,37,65,802,332,75,1144,42,92,36,35,2517
387,15,223,79,883,137,8,25,101,440,119,73,694,109,47,71,84,321,35,152,245,91,66,405,72,4,22,82,16,59,163,101,147,25,101,35,20,180,15,37,55,106,608,297,58,1014,28,85,35,29,2586
425,11,193,70,951,141,21,16,106,553,125,90,772,103,39,80,47,449,32,182,296,113,62,494,107,3,107,110,18,57,132,82,166,36,107,22,31,192,23,22,64,52,781,343,58,1116,47,79,27,22,2592
394,10,192,73,843,125,9,6,63,778,98,58,840,89,33,70,49,338,29,174,319,88,67,529,84,3,82,97,11,28,170,57,129,30,69,20,44,203,18,17,44,36,779,343,62,1145,47,90,27,21,2690
416,12,213,59,718,123,10,8,101,714,100,92,1020,109,22,77,37,314,25,150,279,65,95,666,119,2,124,116,8,15,198,36,149,16,65,13,29,228,7,37,49,45,713,381,79,1359,43,92,17,25,2606
389,13,225,75,854,127,19,19,88,609,128,68,888,92,41,59,62,397,23,155,295,74,61,488,132,2,81,84,15,39,184,72,134,23,98,44,35,183,7,25,38,68,745,406,60,1264,53,70,27,37,2525
449,9,207,90,958,157,6,12,79,550,125,62,830,106,33,91,71,226,32,170,333,99,64,576,136,4,104,67,7,24,182,84,184,18,132,27,28,205,5,28,58,85,859,428,72,946,44,101,27,35,2032
545,14,212,93,855,160,15,7,63,622,148,65,867,91,41,109,46,238,19,181,314,105,46,443,136,3,121,131,13,36,169,80,195,27,112,32,37,201,9,52,76,125,923,372,63,1117,39,76,29,42,2105
606,28,216,118,1224,231,18,10,98,642,144,85,948,133,47,112,92,270,32,203,353,125,65,514,203,4,102,135,5,45,218,69,215,26,109,137,52,217,18,54,95,154,899,422,60,1034,49,93,55,49,2041
650,11,303,78,1359,213,14,15,87,768,150,100,1136,133,52,155,94,266,21,180,338,135,72,660,312,6,124,149,17,40,217,88,235,31,149,103,38,219,20,60,131,111,1046,542,58,1128,93,117,34,66,2030
697,13,273,137,1265,239,31,6,92,724,129,82,989,125,64,218,85,365,26,236,312,126,78,646,342,7,123,246,14,42,192,72,293,25,137,118,44,236,23,44,129,145,1124,566,69,1020,90,82,43,44,2017
726,8,362,119,1278,243,51,14,88,740,154,146,1361,110,68,265,124,376,31,226,320,163,80,593,386,5,120,279,8,44,217,81,292,21,127,175,67,230,12,47,167,196,1241,589,58,1164,83,104,43,56,2052
654,10,344,132,1300,316,21,4,85,379,119,105,1557,183,40,289,161,430,29,162,305,150,73,578,358,16,120,273,16,44,249,124,390,17,160,253,49,232,14,48,134,224,1141,629,64,1163,92,94,40,70,2230
577,19,354,164,1253,343,22,10,83,732,169,133,1561,175,61,323,137,370,23,198,298,171,95,562,393,12,140,254,3,49,345,109,345,19,123,248,71,213,18,38,122,215,1434,629,53,1091,84,96,44,90,2057
574,13,334,254,812,321,38,17,67,696,171,112,1829,193,46,338,105,329,17,255,261,189,72,688,363,23,112,216,5,61,249,102,299,18,129,295,70,172,10,19,106,204,960,618,50,1077,103,126,45,85,2044
552,25,321,327,920,340,11,13,76,748,212,157,2074,219,43,262,126,425,11,212,292,263,89,671,291,31,83,340,9,37,260,127,174,42,93,303,79,199,7,27,114,322,1278,698,76,1078,97,101,72,99,2304
366,23,309,118,819,274,10,12,74,688,319,157,1562,193,37,133,106,365,33,191,320,169,103,531,158,19,68,190,4,48,213,86,271,40,99,128,120,205,15,23,53,194,1149,506,91,977,78,151,48,48,2216
334,18,298,81,1229,188,12,4,59,642,334,111,1077,153,21,93,70,422,23,150,197,102,75,456,92,4,67,214,7,42,191,78,169,18,98,74,41,214,25,22,48,109,1057,518,94,898,102,114,26,82,2059
316,37,275,66,952,194,8,11,35,521,370,122,1009,145,13,78,52,284,18,134,289,99,86,439,60,3,60,182,8,49,200,95,200,26,86,68,31,184,28,19,36,75,947,370,87,860,115,81,39,65,2041
297,54,280,49,927,156,20,14,76,468,57,82,962,95,14,40,19,233,27,122,279,105,68,329,64,9,59,132,7,38,218,88,168,18,60,31,81,196,43,16,40,117,851,381,80,769,125,61,16,37,1904
351,51,234,29,717,129,5,4,51,468,56,94,863,91,18,39,23,350,20,117,260,85,55,316,52,2,56,120,11,48,156,88,154,26,63,73,28,193,21,30,40,52,842,336,64,780,120,69,27,33,1875
350,45,175,34,693,133,2,0,75,303,347,82,839,66,14,35,24,289,11,156,235,87,59,375,58,10,50,89,6,40,142,82,130,8,48,60,36,148,10,20,36,54,765,334,58,710,93,56,14,42,1532
341,41,163,28,732,125,5,3,53,175,352,77,749,62,6,30,19,326,20,139,178,103,69,398,52,0,55,68,5,45,116,47,98,5,56,43,30,143,16,20,21,79,737,275,45,740,106,46,20,21,1644
331,35,151,37,673,99,4,5,48,189,369,56,544,56,4,22,8,227,30,119,215,92,53,425,10,3,61,85,4,19,110,52,78,8,62,50,22,127,14,8,28,32,751,297,34,647,79,45,14,14,1794
357,22,126,31,613,130,1,2,45,208,348,59,542,36,1,18,4,248,13,97,196,79,44,397,6,0,52,96,2,19,91,46,57,10,35,15,22,119,6,17,29,44,750,262,28,645,54,39,10,10,1672
250,17,117,16,593,77,6,0,60,476,355,65,482,31,1,10,6,302,9,31,200,55,20,359,4,0,44,102,3,6,88,34,18,1,28,41,15,97,6,10,22,61,781,255,29,660,26,26,4,15,1576
257,11,99,14,465,85,7,1,36,496,303,51,511,43,0,5,10,120,24,4,156,45,22,263,7,0,14,114,1,9,63,24,72,4,19,8,15,83,2,13,19,42,611,364,24,733,25,16,6,12,1471
244,5,92,1,497,88,1,0,78,363,241,43,490,17,0,3,5,262,17,63,161,45,29,252,3,0,2,60,3,3,61,18,55,0,20,40,19,71,1,5,14,43,552,272,23,624,19,22,3,15,1471
207,6,102,0,466,77,8,0,72,346,185,30,374,16,0,3,2,206,2,52,171,47,24,232,0,0,6,43,3,5,77,9,46,3,7,4,19,62,3,15,0,6,520,255,18,661,16,20,4,4,1432
44,5,90,3,482,75,4,0,49,261,183,28,389,20,1,1,2,206,19,53,173,51,14,212,0,0,3,100,0,4,43,13,41,3,7,41,12,64,1,10,0,56,539,234,19,603,17,20,11,5,1507
199,8,94,3,411,60,9,0,82,231,160,20,402,29,1,1,0,202,27,38,168,13,27,186,2,0,2,42,2,5,64,8,42,0,12,26,9,59,1,7,1,44,572,203,18,545,16,11,3,3,1507
177,7,57,0,365,57,6,0,47,253,150,18,369,20,1,4,7,184,19,32,145,51,31,183,0,0,13,42,1,8,43,13,41,0,9,26,4,43,0,7,0,32,516,176,14,554,13,9,6,5,1308
186,6,63,0,390,68,5,0,56,221,122,17,396,23,1,3,2,191,15,48,185,50,29,134,7,0,4,19,0,2,60,8,51,0,8,25,5,49,0,13,2,5,467,165,15,460,12,16,11,1,1375
160,6,67,0,357,69,5,0,53,222,161,22,397,18,0,0,1,199,15,49,166,36,18,104,6,0,5,41,1,1,69,7,45,0,3,0,6,57,0,8,3,0,471,169,16,510,12,10,3,1,1198
166,6,77,3,354,72,8,0,60,231,200,18,429,26,0,4,1,196,23,46,134,41,25,230,2,0,8,37,0,4,38,5,45,0,20,8,5,71,0,4,2,21,438,190,17,494,13,15,4,2,1123
174,5,102,5,362,59,1,0,65,210,231,22,490,38,0,3,12,227,19,55,144,45,22,262,1,0,15,15,2,2,64,9,3,7,1,14,3,52,0,12,3,5,491,182,16,490,7,13,11,1,1011
153,5,127,3,343,62,5,0,61,281,251,18,378,21,0,2,3,261,17,51,159,31,26,205,2,0,5,34,0,1,89,5,42,1,14,0,7,46,0,2,3,3,500,155,20,471,14,23,14,5,978
197,2,116,0,160,72,4,1,44,335,209,16,442,26,0,2,5,219,14,40,150,41,10,181,5,0,6,44,1,1,60,7,43,1,5,1,5,55,1,0,3,46,519,206,21,520,11,28,0,3,979
216,3,142,0,411,95,8,1,71,483,228,22,518,40,0,6,5,344,13,36,122,49,20,235,5,0,43,35,0,6,76,4,43,4,19,40,4,68,0,3,3,30,561,163,16,536,8,29,2,2,1172
286,3,179,0,525,110,7,2,55,414,208,28,579,46,1,3,10,364,14,55,139,46,13,190,2,0,53,41,2,6,109,7,62,2,30,40,6,65,0,14,2,29,542,194,20,584,7,64,3,4,959
274,12,133,0,543,89,6,2,59,215,160,26,503,55,2,6,12,301,13,44,148,51,17,250,8,0,51,39,2,17,84,8,43,0,25,59,6,66,2,7,3,79,579,282,25,678,13,34,6,9,1010
277,13,137,0,627,97,6,0,65,226,161,26,687,52,7,8,16,360,14,72,186,46,30,219,18,0,58,113,1,21,93,15,63,4,34,46,10,117,7,9,0,15,780,300,19,773,9,56,11,6,1201
268,4,137,0,678,102,8,0,67,211,171,39,607,67,1,7,12,395,21,60,165,64,32,257,6,0,62,48,2,24,97,9,69,0,45,17,18,97,4,13,3,33,782,220,31,960,18,45,12,6,1374
312,7,122,2,656,132,10,0,66,230,177,63,644,44,7,2,12,370,14,89,170,33,30,323,28,0,61,33,1,26,100,24,71,2,47,74,10,109,10,15,4,41,778,232,31,924,18,52,24,9,1354
238,27,132,14,720,102,16,5,55,261,201,47,696,69,13,50,21,549,45,105,195,139,34,469,101,5,90,89,13,68,126,48,150,17,123,75,14,213,13,28,43,44,794,227,40,924,38,51,39,27,1453
288,17,136,23,781,115,16,8,74,308,173,50,734,70,5,62,39,677,54,117,177,158,24,504,103,4,85,77,5,83,134,94,120,18,109,109,25,171,9,23,54,50,951,207,34,995,40,70,32,39,1555
265,23,194,33,840,98,32,9,67,278,179,45,789,75,10,92,23,681,46,108,301,167,27,518,140,5,81,97,4,71,105,156,154,9,136,56,27,219,19,27,59,118,768,239,36,968,49,85,20,36,1691
261,27,139,37,812,101,26,15,90,364,198,30,765,54,14,64,20,809,45,87,199,136,29,550,114,2,93,118,7,113,127,124,181,11,119,72,24,201,26,18,32,108,981,236,31,1037,47,67,26,34,1750
275,31,193,13,853,124,29,5,52,384,170,54,836,70,17,135,9,837,47,93,189,177,38,571,132,5,94,81,6,49,108,84,210,7,117,62,26,213,9,18,52,131,1080,303,34,1032,61,52,15,38,1450
335,25,224,22,909,137,43,14,95,587,190,72,923,102,17,98,25,1175,59,126,180,170,36,649,168,3,57,90,8,80,157,138,318,17,142,63,23,235,13,30,47,172,1314,291,34,1047,60,68,19,28,1438
482,21,224,19,857,164,42,15,86,787,174,107,885,76,32,75,20,1108,62,93,219,210,30,822,203,4,105,109,6,103,181,171,295,19,143,43,16,236,11,40,53,183,1269,323,33,1227,86,48,40,19,1627
647,38,193,35,639,147,21,30,73,781,178,99,853,75,20,64,49,1163,41,127,218,182,37,1093,210,9,63,98,6,72,165,176,242,14,167,50,9,208,14,54,48,338,1644,405,25,1425,56,52,31,29,1900
916,35,217,74,946,230,52,32,121,1086,190,106,1116,151,30,99,71,1444,67,113,301,216,47,977,251,3,130,128,14,161,186,260,459,11,275,125,13,282,30,172,65,416,1692,480,52,1643,75,87,33,75,2367
1480,32,281,94,905,300,51,47,121,1338,221,97,1529,246,57,194,109,1759,50,169,480,224,46,1483,238,5,92,102,20,172,170,380,1242,16,359,134,37,424,84,351,69,716,2229,494,49,2225,71,224,68,137,2939
1595,62,344,142,920,402,62,67,162,1416,248,109,1995,458,86,205,141,2138,90,220,622,302,89,1537,282,5,97,155,41,126,225,506,1285,19,475,190,47,566,161,268,66,597,2524,603,95,3087,100,360,70,150,3411
1508,46,424,197,1025,556,73,84,145,1320,232,131,2271,474,37,259,150,2096,136,331,907,379,140,1647,309,27,263,127,81,166,247,562,745,59,661,120,25,629,169,233,116,517,3327,772,119,4757,88,392,80,314,4318
1263,81,446,134,957,483,61,112,62,1427,140,158,2227,492,89,347,239,2484,158,210,831,447,202,1794,397,9,272,212,59,250,482,475,797,54,438,285,62,642,150,138,87,406,2924,1198,121,6106,99,407,83,208,4701
867,46,512,154,812,492,141,157,65,783,247,117,1903,349,112,415,273,2068,158,193,697,508,211,1353,325,20,321,281,90,268,408,397,761,74,466,271,63,539,130,120,106,556,3023,1282,128,5554,127,510,108,169,4785
1074,49,649,301,1255,705,202,151,135,1014,367,171,2008,469,93,396,249,1967,213,397,753,696,188,1168,380,26,454,380,149,356,460,627,767,161,485,390,103,762,185,145,134,522,3518,1111,180,5990,173,685,147,336,5963
799,56,934,293,1783,891,138,148,158,818,510,149,1790,545,116,513,405,1751,211,399,716,720,152,1014,403,36,412,476,107,399,484,647,695,125,488,386,120,892,166,104,133,322,3430,1087,203,4673,231,820,123,245,6543
593,18,1046,231,2043,757,144,118,120,605,603,177,1500,326,115,473,338,1750,129,272,672,708,127,1037,407,29,398,553,55,348,557,621,475,77,386,398,150,608,89,70,121,175,3284,1060,194,2042,181,523,105,231,4918
597,55,824,158,2349,687,128,78,104,651,531,173,1572,376,84,512,335,1592,120,243,605,493,125,959,381,40,305,297,40,231,481,468,451,58,298,403,123,486,113,70,130,306,2367,959,185,2730,174,412,112,176,4120
511,36,730,91,1993,593,79,63,113,686,52,194,1381,346,60,458,238,1339,103,197,486,544,144,899,360,26,223,507,32,300,366,419,303,66,233,238,96,412,53,75,144,253,1822,848,166,2192,157,215,71,128,3442
531,23,635,75,1746,434,55,42,97,636,44,146,1282,279,55,306,212,1102,75,198,444,466,121,785,253,8,197,504,21,242,338,540,254,105,218,200,89,507,47,80,103,363,1514,701,159,2264,114,203,71,122,2883
393,21,490,45,1365,396,72,44,69,660,37,114,1064,287,32,221,216,1085,64,205,373,397,82,858,203,27,166,437,23,242,294,551,280,49,294,144,92,431,31,76,90,221,1247,630,94,2201,88,247,58,93,3189
408,24,421,50,1354,331,69,28,91,674,54,41,1194,265,31,143,250,967,64,219,358,414,84,865,153,23,152,258,33,207,272,434,233,88,216,194,65,452,24,72,88,175,1272,528,110,2205,96,208,35,62,2843
398,14,358,40,1399,262,55,30,77,754,61,33,1102,248,40,133,202,1015,50,235,365,350,78,933,182,21,101,186,15,129,199,369,238,73,134,140,29,350,28,103,81,287,1350,501,87,2266,80,238,52,42,2931
397,14,281,41,1159,229,38,25,93,729,41,71,1073,220,21,76,193,940,52,232,387,443,87,920,142,36,121,214,14,143,214,378,236,82,154,127,47,387,41,70,87,166,1028,451,62,2011,47,205,28,29,2694
427,12,239,23,1017,156,34,22,94,590,40,67,1039,196,6,54,163,868,46,147,366,374,37,740,123,11,94,92,25,116,158,289,162,67,105,98,18,296,24,101,75,153,1042,364,55,1877,31,187,36,29,2464
229,14,166,26,871,147,28,16,47,572,22,39,954,139,13,40,167,940,58,217,411,300,47,636,105,17,87,137,15,118,129,179,243,55,97,71,15,222,37,95,72,144,913,330,67,1606,41,238,28,18,2182
225,5,180,10,715,133,27,12,99,480,20,17,932,111,12,30,72,943,76,92,433,255,32,620,83,3,71,107,14,99,120,173,188,52,104,68,25,226,34,57,53,107,806,339,74,1406,49,143,22,18,1957
